date,mean,month,name,year,bridge,bwidth,pp open,burning,elnino,provincelight,pixellight,rain,temperature,road.freight,road.passengers
2014-04-01T00:00:00,263.6749878,4,Can Tho,2014,1,23.1,2,0,0,10.36527299,7,61.2,29.5,1826.4,65.1
2014-05-01T00:00:00,280.8222351,5,Can Tho,2014,1,23.1,2,0,0,10.36527299,7,153.6,29.4,1826.4,65.1
2014-06-01T00:00:00,278.1999817,6,Can Tho,2014,1,23.1,2,0,0,10.36527299,7,190.3,28.2,1826.4,65.1
2014-07-01T00:00:00,273.8200073,7,Can Tho,2014,1,23.1,2,0,0,10.36527299,7,388.6,27.7,1826.4,65.1
2014-08-01T00:00:00,272.1600037,8,Can Tho,2014,1,23.1,2,1,0,10.36527299,7,341.7,28,1826.4,65.1
2014-09-01T00:00:00,267.4666443,9,Can Tho,2014,1,23.1,2,1,0,10.36527299,7,273.3,27.6,1826.4,65.1
2014-10-01T00:00:00,261.8500061,10,Can Tho,2014,1,23.1,2,1,1,10.36527299,7,254.4,27.5,1826.4,65.1
2014-11-01T00:00:00,261.6666565,11,Can Tho,2014,1,23.1,2,0,1,10.36527299,7,291.3,27.6,1826.4,65.1
2014-12-01T00:00:00,247.9333344,12,Can Tho,2014,1,23.1,2,0,1,10.36527299,7,103,27.2,1826.4,65.1
2015-01-01T00:00:00,245.8625031,1,Can Tho,2015,1,23.1,2,0,1,11.43457249,7,43.6,25.6,1838.95,59.1
2015-02-01T00:00:00,250.2799988,2,Can Tho,2015,1,23.1,2,1,1,11.43457249,7,0,26,1838.95,59.1
2015-03-01T00:00:00,263.6856995,3,Can Tho,2015,1,23.1,2,1,1,11.43457249,7,0,27.9,1838.95,59.1
2015-04-01T00:00:00,275.3833313,4,Can Tho,2015,1,23.1,2,0,1,11.43457249,7,6.4,29.4,1838.95,59.1
2015-05-01T00:00:00,277.2200012,5,Can Tho,2015,1,23.1,2,0,1,11.43457249,7,131.6,29.7,1838.95,59.1
2015-06-01T00:00:00,284.5599976,6,Can Tho,2015,1,23.1,2,0,1,11.43457249,7,466.6,28.2,1838.95,59.1
2015-07-01T00:00:00,276.5,7,Can Tho,2015,1,23.1,2,0,1,11.43457249,7,200.7,28.6,1838.95,59.1
2015-08-01T00:00:00,285.5333252,8,Can Tho,2015,1,23.1,2,1,1,11.43457249,7,250.6,28.3,1838.95,59.1
