date,mean,month,name,year,bridge,bwidth,pcr,pp open,burning,elnino,provincelight,,
2019-12-01T00:00:00,0.1216666624,12,Can Tho,2019,1,23.1,0.3359966056,3,0,0,17.16414658,,
2007-01-01T00:00:00,0.1070588231,1,Cao Lanh,2007,0,24.5,0.4763289891,1,0,1,5.601521694,,
2007-02-01T00:00:00,0.02666666545,2,Cao Lanh,2007,0,24.5,0.4763289891,1,1,0,5.601521694,,
2007-03-01T00:00:00,0.05272727087,3,Cao Lanh,2007,0,24.5,0.4763289891,1,1,0,5.601521694,,
2007-04-01T00:00:00,0.0792857185,4,Cao Lanh,2007,0,24.5,0.4763289891,1,0,0,5.601521694,,
2007-05-01T00:00:00,0.05285714567,5,Cao Lanh,2007,0,24.5,0.4763289891,1,0,0,5.601521694,,
2007-06-01T00:00:00,-0.008181816898,6,Cao Lanh,2007,0,24.5,0.4763289891,1,0,0,5.601521694,,
2007-07-01T00:00:00,0.1200000048,7,Cao Lanh,2007,0,24.5,0.4763289891,1,0,0,5.601521694,,
2007-08-01T00:00:00,0.08666666597,8,Cao Lanh,2007,0,24.5,0.4763289891,1,1,0,5.601521694,,
2007-09-01T00:00:00,-0.07999999821,9,Cao Lanh,2007,0,24.5,0.4763289891,1,1,0,5.601521694,,
2007-10-01T00:00:00,-0.02900000103,10,Cao Lanh,2007,0,24.5,0.4763289891,1,1,0,5.601521694,,
2007-11-01T00:00:00,0.18076922,11,Cao Lanh,2007,0,24.5,0.4763289891,1,0,0,5.601521694,,
2007-12-01T00:00:00,0.003333332017,12,Cao Lanh,2007,0,24.5,0.4763289891,1,0,0,5.601521694,,
2008-01-01T00:00:00,0.05909090862,1,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2008-02-01T00:00:00,0.05583333224,2,Cao Lanh,2008,0,24.5,0.4763289891,1,1,0,5.103625998,,
2008-03-01T00:00:00,0.1122222245,3,Cao Lanh,2008,0,24.5,0.4763289891,1,1,0,5.103625998,,
2008-04-01T00:00:00,0.001000000164,4,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2008-05-01T00:00:00,-0.0680000037,5,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2008-06-01T00:00:00,0.0700000003,6,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2008-07-01T00:00:00,0.0671428591,7,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2008-08-01T00:00:00,0.1550000012,8,Cao Lanh,2008,0,24.5,0.4763289891,1,1,0,5.103625998,,
2008-09-01T00:00:00,-0.0680000037,9,Cao Lanh,2008,0,24.5,0.4763289891,1,1,0,5.103625998,,
2008-10-01T00:00:00,0.0862499997,10,Cao Lanh,2008,0,24.5,0.4763289891,1,1,0,5.103625998,,
2008-11-01T00:00:00,-2.13E-09,11,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2008-12-01T00:00:00,0.1550000012,12,Cao Lanh,2008,0,24.5,0.4763289891,1,0,0,5.103625998,,
2009-01-01T00:00:00,-0.1849999875,1,Cao Lanh,2009,0,24.5,0.4763289891,1,0,0,4.524738305,,
2009-02-01T00:00:00,0.06166666374,2,Cao Lanh,2009,0,24.5,0.4763289891,1,1,0,4.524738305,,
2009-03-01T00:00:00,-0.05000000075,3,Cao Lanh,2009,0,24.5,0.4763289891,1,1,0,4.524738305,,
2009-04-01T00:00:00,-0.02333333343,4,Cao Lanh,2009,0,24.5,0.4763289891,1,0,0,4.524738305,,
2009-05-01T00:00:00,0.3799999952,5,Cao Lanh,2009,0,24.5,0.4763289891,1,0,0,4.524738305,,
2009-06-01T00:00:00,-0.02600000054,6,Cao Lanh,2009,0,24.5,0.4763289891,1,0,0,4.524738305,,
2009-07-01T00:00:00,0.03999999911,7,Cao Lanh,2009,0,24.5,0.4763289891,1,0,1,4.524738305,,
2009-08-01T00:00:00,-0.1099999994,8,Cao Lanh,2009,0,24.5,0.4763289891,1,1,1,4.524738305,,
2009-09-01T00:00:00,0.07999999821,9,Cao Lanh,2009,0,24.5,0.4763289891,2,1,1,4.524738305,,
2009-10-01T00:00:00,0.04500000179,10,Cao Lanh,2009,0,24.5,0.4763289891,2,1,1,4.524738305,,
2009-11-01T00:00:00,-0.05166666955,11,Cao Lanh,2009,0,24.5,0.4763289891,2,0,1,4.524738305,,
2009-12-01T00:00:00,0.08714285493,12,Cao Lanh,2009,0,24.5,0.4763289891,2,0,1,4.524738305,,
2010-01-01T00:00:00,-0.01250000019,1,Cao Lanh,2010,0,24.5,0.4763289891,2,0,1,7.623806644,,
2010-02-01T00:00:00,-0.006249995902,2,Cao Lanh,2010,0,24.5,0.4763289891,2,1,1,7.623806644,,
2010-03-01T00:00:00,-0.007142860442,3,Cao Lanh,2010,0,24.5,0.4763289891,2,1,1,7.623806644,,
2010-04-01T00:00:00,-0.06166666746,4,Cao Lanh,2010,0,24.5,0.4763289891,2,0,0,7.623806644,,
2010-05-01T00:00:00,0.02666666545,5,Cao Lanh,2010,0,24.5,0.4763289891,2,0,0,7.623806644,,
2010-06-01T00:00:00,0.09600000083,6,Cao Lanh,2010,0,24.5,0.4763289891,2,0,0,7.623806644,,
2010-07-01T00:00:00,0.1299999952,7,Cao Lanh,2010,0,24.5,0.4763289891,2,0,0,7.623806644,,
