Day,Night,date,month,year,name,bridge
1.65068E+18,1.62152E+18,2012-08-01T00:00:00,8,2012,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,,2012-09-01T00:00:00,9,2012,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.73213E+18,1.8332E+18,2012-09-01T00:00:00,9,2012,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,3.06205E+18,2012-10-01T00:00:00,10,2012,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.11434E+18,2.2719E+18,2012-10-01T00:00:00,10,2012,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,1.95059E+18,2012-11-01T00:00:00,11,2012,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.87311E+18,1.86358E+18,2012-11-01T00:00:00,11,2012,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.06272E+18,2.32912E+18,2012-12-01T00:00:00,12,2012,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.14206E+18,2.03993E+18,2012-12-01T00:00:00,12,2012,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.51658E+18,2.7452E+18,2013-01-01T00:00:00,1,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.55595E+18,2.52094E+18,2013-01-01T00:00:00,1,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.42063E+18,2.70864E+18,2013-02-01T00:00:00,2,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.25108E+18,2.26676E+18,2013-02-01T00:00:00,2,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
3.97388E+18,2.5709E+18,2013-03-01T00:00:00,3,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
3.14658E+18,2.35975E+18,2013-03-01T00:00:00,3,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,2.2042E+18,2013-04-01T00:00:00,4,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.92544E+18,2.07252E+18,2013-04-01T00:00:00,4,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,1.78984E+18,2013-05-01T00:00:00,5,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.82695E+18,1.89044E+18,2013-05-01T00:00:00,5,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,2.12778E+18,2013-06-01T00:00:00,6,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.11102E+18,1.99191E+18,2013-06-01T00:00:00,6,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,1.58925E+18,2013-07-01T00:00:00,7,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.69048E+18,1.72987E+18,2013-07-01T00:00:00,7,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,,2013-08-01T00:00:00,8,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.59855E+18,1.49494E+18,2013-08-01T00:00:00,8,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,,2013-09-01T00:00:00,9,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
1.70099E+18,,2013-09-01T00:00:00,9,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
,2.25004E+18,2013-10-01T00:00:00,10,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.34665E+18,2.16195E+18,2013-10-01T00:00:00,10,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
1.9708E+18,1.93714E+18,2013-11-01T00:00:00,11,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.04118E+18,1.96123E+18,2013-11-01T00:00:00,11,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.28989E+18,2.22344E+18,2013-12-01T00:00:00,12,2013,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.22297E+18,1.98985E+18,2013-12-01T00:00:00,12,2013,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
2.52343E+18,2.61124E+18,2014-01-01T00:00:00,1,2014,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
2.56175E+18,2.42065E+18,2014-01-01T00:00:00,1,2014,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
3.8588E+18,2.60262E+18,2014-02-01T00:00:00,2,2014,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
3.05099E+18,2.40089E+18,2014-02-01T00:00:00,2,2014,"Can Tho, My Thuan, Vam Cong, Cao Lanh",2
3.08082E+18,2.63649E+18,2014-03-01T00:00:00,3,2014,"Co Chien, Ham Luong, Rach Mieu, My Loi",2
