date,mean,month,quarter,name,year,bridge,Ferry
2016-09-01T00:00:00,88.5,9,3,Can Tho,2016,1,1
2016-10-01T00:00:00,502.039666,10,4,Can Tho,2016,1,1
2016-11-01T00:00:00,423.7608142,11,4,Can Tho,2016,1,1
2016-12-01T00:00:00,398.9043825,12,4,Can Tho,2016,1,1
2017-01-01T00:00:00,366.1466376,1,1,Can Tho,2017,1,1
2017-02-01T00:00:00,380.148855,2,1,Can Tho,2017,1,1
2017-03-01T00:00:00,525.6126863,3,1,Can Tho,2017,1,1
2017-04-01T00:00:00,463.5321288,4,2,Can Tho,2017,1,1
2017-05-01T00:00:00,,5,2,Can Tho,2017,1,1
2017-06-01T00:00:00,259.0139442,6,2,Can Tho,2017,1,1
2017-07-01T00:00:00,409.8099839,7,3,Can Tho,2017,1,1
2017-08-01T00:00:00,352.812709,8,3,Can Tho,2017,1,1
2017-09-01T00:00:00,533.6999463,9,3,Can Tho,2017,1,1
2017-10-01T00:00:00,369.5453473,10,4,Can Tho,2017,1,1
2017-11-01T00:00:00,281.0717131,11,4,Can Tho,2017,1,1
2017-12-01T00:00:00,368.076557,12,4,Can Tho,2017,1,1
2018-01-01T00:00:00,311.9906832,1,1,Can Tho,2018,1,1
2018-02-01T00:00:00,459.0619804,2,1,Can Tho,2018,1,1
2018-03-01T00:00:00,465.1703071,3,1,Can Tho,2018,1,1
2018-04-01T00:00:00,359.6977226,4,2,Can Tho,2018,1,1
2018-05-01T00:00:00,471.1480996,5,2,Can Tho,2018,1,1
2018-06-01T00:00:00,779.5,6,2,Can Tho,2018,1,1
2018-07-01T00:00:00,729.8580376,7,3,Can Tho,2018,1,1
2018-08-01T00:00:00,472.756307,8,3,Can Tho,2018,1,1
2018-09-01T00:00:00,416.8675676,9,3,Can Tho,2018,1,1
2018-10-01T00:00:00,531.3649068,10,4,Can Tho,2018,1,1
2018-11-01T00:00:00,491.728328,11,4,Can Tho,2018,1,1
2018-12-01T00:00:00,412.8587635,12,4,Can Tho,2018,1,1
2019-01-01T00:00:00,371.6357843,1,1,Can Tho,2019,1,1
2019-02-01T00:00:00,377.4554132,2,1,Can Tho,2019,1,1
2019-03-01T00:00:00,472.8982838,3,1,Can Tho,2019,1,1
2019-04-01T00:00:00,292.7589059,4,2,Can Tho,2019,1,1
2019-05-01T00:00:00,491.0799406,5,2,Can Tho,2019,1,1
2019-06-01T00:00:00,298.1354582,6,2,Can Tho,2019,1,1
2019-07-01T00:00:00,525.1241341,7,3,Can Tho,2019,1,1
2019-08-01T00:00:00,376.7675713,8,3,Can Tho,2019,1,1
2019-09-01T00:00:00,364.6552795,9,3,Can Tho,2019,1,1
2019-10-01T00:00:00,537.2389737,10,4,Can Tho,2019,1,1
2019-11-01T00:00:00,330.8256997,11,4,Can Tho,2019,1,1
2019-12-01T00:00:00,310.7090619,12,4,Can Tho,2019,1,1
2007-01-01T00:00:00,333.1861111,1,1,Cao Lanh,2007,0,1
2007-02-01T00:00:00,362.8502024,2,1,Cao Lanh,2007,0,1
2007-03-01T00:00:00,329.75,3,1,Cao Lanh,2007,0,1
2007-04-01T00:00:00,324.425,4,2,Cao Lanh,2007,0,1
2007-05-01T00:00:00,350,5,2,Cao Lanh,2007,0,1
2007-06-01T00:00:00,337,6,2,Cao Lanh,2007,0,1
2007-07-01T00:00:00,449.375,7,3,Cao Lanh,2007,0,1
2007-08-01T00:00:00,310.5,8,3,Cao Lanh,2007,0,1
2007-09-01T00:00:00,490.5,9,3,Cao Lanh,2007,0,1
2007-10-01T00:00:00,306.5,10,4,Cao Lanh,2007,0,1
2007-11-01T00:00:00,800.5,11,4,Cao Lanh,2007,0,1
2007-12-01T00:00:00,387.375,12,4,Cao Lanh,2007,0,1
2008-01-01T00:00:00,223.8166667,1,1,Cao Lanh,2008,0,1
2008-02-01T00:00:00,432.1778846,2,1,Cao Lanh,2008,0,1
2008-03-01T00:00:00,550.875,3,1,Cao Lanh,2008,0,1
2008-04-01T00:00:00,274.1666667,4,2,Cao Lanh,2008,0,1
2008-05-01T00:00:00,482.9166667,5,2,Cao Lanh,2008,0,1
2008-06-01T00:00:00,314,6,2,Cao Lanh,2008,0,1
2008-07-01T00:00:00,429.5,7,3,Cao Lanh,2008,0,1
2008-08-01T00:00:00,612.6666667,8,3,Cao Lanh,2008,0,1
2008-09-01T00:00:00,388,9,3,Cao Lanh,2008,0,1
2008-10-01T00:00:00,385.5,10,4,Cao Lanh,2008,0,1
2008-11-01T00:00:00,278,11,4,Cao Lanh,2008,0,1
2008-12-01T00:00:00,366,12,4,Cao Lanh,2008,0,1
2009-01-01T00:00:00,420.6420455,1,1,Cao Lanh,2009,0,1
2009-02-01T00:00:00,251.8666667,2,1,Cao Lanh,2009,0,1
2009-03-01T00:00:00,352.7142857,3,1,Cao Lanh,2009,0,1
2009-04-01T00:00:00,409.8333333,4,2,Cao Lanh,2009,0,1
2009-05-01T00:00:00,304.3333333,5,2,Cao Lanh,2009,0,1
2009-06-01T00:00:00,384.5,6,2,Cao Lanh,2009,0,1
2009-07-01T00:00:00,298.5,7,3,Cao Lanh,2009,0,1
2009-08-01T00:00:00,611,8,3,Cao Lanh,2009,0,1
2009-09-01T00:00:00,554.5,9,3,Cao Lanh,2009,0,1
2009-10-01T00:00:00,649,10,4,Cao Lanh,2009,0,1
2009-11-01T00:00:00,201.5,11,4,Cao Lanh,2009,0,1
2009-12-01T00:00:00,324.9787879,12,4,Cao Lanh,2009,0,1
2010-01-01T00:00:00,350.1357143,1,1,Cao Lanh,2010,0,1
2010-02-01T00:00:00,310.3125,2,1,Cao Lanh,2010,0,1
2010-03-01T00:00:00,412.987013,3,1,Cao Lanh,2010,0,1
2010-04-01T00:00:00,555.2,4,2,Cao Lanh,2010,0,1
2010-05-01T00:00:00,420.7666667,5,2,Cao Lanh,2010,0,1
2010-06-01T00:00:00,280.5,6,2,Cao Lanh,2010,0,1
2010-07-01T00:00:00,306.25,7,3,Cao Lanh,2010,0,1
2010-08-01T00:00:00,416,8,3,Cao Lanh,2010,0,1
2010-09-01T00:00:00,,9,3,Cao Lanh,2010,0,1
2010-10-01T00:00:00,650.75,10,4,Cao Lanh,2010,0,1
2010-11-01T00:00:00,322.5,11,4,Cao Lanh,2010,0,1
2010-12-01T00:00:00,437.5,12,4,Cao Lanh,2010,0,1
