date,NO2,month,name,year,bridge,dmonth
2009-01-01T00:00:00,116,1,Cao Lanh,2009,0,0
2009-01-01T00:00:00,215,1,My Loi,2009,0,0
2009-02-01T00:00:00,156,2,Can Tho,2009,0,1
2009-02-01T00:00:00,105,2,Co Chien,2009,0,1
2009-02-01T00:00:00,147,2,Ham Luong,2009,0,1
2009-02-01T00:00:00,159,2,Rach Mieu,2009,1,1
2009-02-01T00:00:00,144,2,My Thuan,2009,1,1
2009-02-01T00:00:00,160,2,Vam Cong,2009,0,1
2009-02-01T00:00:00,179,2,Cao Lanh,2009,0,1
2009-02-01T00:00:00,194,2,My Loi,2009,0,1
2009-03-01T00:00:00,188,3,Can Tho,2009,0,2
2009-03-01T00:00:00,79,3,Co Chien,2009,0,2
2009-03-01T00:00:00,95,3,Ham Luong,2009,0,2
2009-03-01T00:00:00,122,3,Rach Mieu,2009,1,2
2009-03-01T00:00:00,195,3,My Thuan,2009,1,2
2009-03-01T00:00:00,200,3,Vam Cong,2009,0,2
2009-03-01T00:00:00,169,3,Cao Lanh,2009,0,2
2009-03-01T00:00:00,163,3,My Loi,2009,0,2
2009-04-01T00:00:00,118,4,Can Tho,2009,0,3
2009-04-01T00:00:00,108,4,Co Chien,2009,0,3
2009-04-01T00:00:00,143,4,Ham Luong,2009,0,3
2009-04-01T00:00:00,167,4,Rach Mieu,2009,1,3
2009-04-01T00:00:00,170,4,My Thuan,2009,1,3
2009-04-01T00:00:00,240,4,Vam Cong,2009,0,3
2009-04-01T00:00:00,206,4,Cao Lanh,2009,0,3
2009-04-01T00:00:00,206,4,My Loi,2009,0,3
2009-05-01T00:00:00,119,5,Can Tho,2009,0,4
2009-05-01T00:00:00,116,5,Co Chien,2009,0,4
2009-05-01T00:00:00,123,5,Ham Luong,2009,0,4
2009-05-01T00:00:00,143,5,Rach Mieu,2009,1,4
2009-05-01T00:00:00,179,5,My Thuan,2009,1,4
2009-05-01T00:00:00,166,5,Vam Cong,2009,0,4
2009-05-01T00:00:00,163,5,Cao Lanh,2009,0,4
2009-05-01T00:00:00,203,5,My Loi,2009,0,4
2009-06-01T00:00:00,83,6,Can Tho,2009,0,5
2009-06-01T00:00:00,129,6,Co Chien,2009,0,5
2009-06-01T00:00:00,144,6,Ham Luong,2009,0,5
2009-06-01T00:00:00,140,6,Rach Mieu,2009,1,5
2009-06-01T00:00:00,144,6,My Thuan,2009,1,5
2009-06-01T00:00:00,98,6,Vam Cong,2009,0,5
2009-06-01T00:00:00,124,6,Cao Lanh,2009,0,5
2009-06-01T00:00:00,169,6,My Loi,2009,0,5
2009-07-01T00:00:00,124,7,Can Tho,2009,0,6
2009-07-01T00:00:00,99,7,Co Chien,2009,0,6
2009-07-01T00:00:00,147,7,Ham Luong,2009,0,6
2009-07-01T00:00:00,146,7,Rach Mieu,2009,1,6
2009-07-01T00:00:00,114,7,My Thuan,2009,1,6
2009-07-01T00:00:00,115,7,Vam Cong,2009,0,6
2009-07-01T00:00:00,132,7,Cao Lanh,2009,0,6
2009-07-01T00:00:00,200,7,My Loi,2009,0,6
2009-08-01T00:00:00,101,8,Can Tho,2009,0,7
2009-08-01T00:00:00,101,8,Co Chien,2009,0,7
2009-08-01T00:00:00,98,8,Ham Luong,2009,0,7
2009-08-01T00:00:00,146,8,Rach Mieu,2009,1,7
2009-08-01T00:00:00,107,8,My Thuan,2009,1,7
2009-08-01T00:00:00,128,8,Vam Cong,2009,0,7
2009-08-01T00:00:00,131,8,Cao Lanh,2009,0,7
2009-08-01T00:00:00,160,8,My Loi,2009,0,7
2009-09-01T00:00:00,137,9,Can Tho,2009,0,8
2009-09-01T00:00:00,194,9,Co Chien,2009,0,8
2009-09-01T00:00:00,197,9,Ham Luong,2009,0,8
2009-09-01T00:00:00,199,9,Rach Mieu,2009,1,8
2009-09-01T00:00:00,161,9,My Thuan,2009,1,8
2009-09-01T00:00:00,127,9,Vam Cong,2009,0,8
2009-09-01T00:00:00,144,9,Cao Lanh,2009,0,8
2009-09-01T00:00:00,137,9,My Loi,2009,0,8
2009-10-01T00:00:00,187,10,Can Tho,2009,0,9
2009-10-01T00:00:00,149,10,Co Chien,2009,0,9
2009-10-01T00:00:00,136,10,Ham Luong,2009,0,9
2009-10-01T00:00:00,127,10,Rach Mieu,2009,1,9
2009-10-01T00:00:00,144,10,My Thuan,2009,1,9
2009-10-01T00:00:00,127,10,Vam Cong,2009,0,9
2009-10-01T00:00:00,152,10,Cao Lanh,2009,0,9
2009-10-01T00:00:00,191,10,My Loi,2009,0,9
2009-11-01T00:00:00,136,11,Can Tho,2009,0,10
2009-11-01T00:00:00,145,11,Co Chien,2009,0,10
2009-11-01T00:00:00,147,11,Ham Luong,2009,0,10
2009-11-01T00:00:00,144,11,Rach Mieu,2009,1,10
2009-11-01T00:00:00,132,11,My Thuan,2009,1,10
